CLE;ID Operation;Type Operation;Montant;Solde avant;Solde apres;Code proprietaire;Telephone;Statut;ID Transaction;Num bordereau;Date operation;Date de versement;Banque appro;Login demandeur Appro;Login valideur Appro;Motif rejet;Frais connexion;Numero Trans GU;Agent;Motif regularisation;groupe de reseau
1754429718822;2427932492;IMPACT_COMPTIMPACT-COMPTE-GENERAL;-51.21;55.156;55.105;CELCM0001;null;OK;;null;2025;null;null;;;;;1754429718822;718768443;;CM
1754429715298;2427932431;IMPACT_COMPTIMPACT-COMPTE-GENERAL;-25.79;55.182;55.156;CELCM0001;null;OK;;null;2025;null;null;;;;;1754429715298;718768443;;CM
1754429715298;2427932433;FRAIS_TRANSACTION;-300;55.156;55.156;CELCM0001;null;OK;;null;2025;null;null;;;;;1754429715298;718768443;;CM
1754429184780;2427922232;IMPACT_COMPTIMPACT-COMPTE-GENERAL;-50;55.232;55.182;CELCM0001;null;OK;;null;2025;null;null;;;;;1754429184780;718768443;;CM
1754429184780;2427922234;FRAIS_TRANSACTION;-300;55.182;55.182;CELCM0001;null;OK;;null;2025;null;null;;;;;1754429184780;718768443;;CM
1754429114016;2427921024;IMPACT_COMPTIMPACT-COMPTE-GENERAL;-207.4;55.44;55.232;CELCM0001;null;OK;;null;2025;null;null;;;;;1754429114016;718768443;;CM
1754429114016;2427921026;FRAIS_TRANSACTION;-300;55.232;55.232;CELCM0001;null;OK;;null;2025;null;null;;;;;1754429114016;718768443;;CM
1754428746336;2427914227;IMPACT_COMPTIMPACT-COMPTE-GENERAL;46.93;55.393;55.44;CELCM0001;null;OK;;null;2025;null;null;;;;;1754428746336;718768443;;CM
1754428746336;2427914229;FRAIS_TRANSACTION;469;55.44;55.44;CELCM0001;null;OK;;null;2025;null;null;;;;;1754428746336;718768443;;CM
1754428640880;2427911615;IMPACT_COMPTIMPACT-COMPTE-GENERAL;-80.235;55.474;55.394;CELCM0001;null;OK;;null;2025;null;null;;;;;1754428640880;718768443;;CM
1754428640880;2427911617;FRAIS_TRANSACTION;-300;55.394;55.393;CELCM0001;null;OK;;null;2025;null;null;;;;;1754428640880;718768443;;CM
1754428638025;2427911567;IMPACT_COMPTIMPACT-COMPTE-GENERAL;-74;55.548;55.474;CELCM0001;null;OK;;null;2025;null;null;;;;;1754428638025;718768443;;CM
1754428638025;2427911569;FRAIS_TRANSACTION;-300;55.474;55.474;CELCM0001;null;OK;;null;2025;null;null;;;;;1754428638025;718768443;;CM
1754428046021;2427899755;IMPACT_COMPTIMPACT-COMPTE-GENERAL;28.93;55.52;55.549;CELCM0001;null;OK;;null;2025;null;null;;;;;1754428046021;718768443;;CM
1754428046021;2427899757;FRAIS_TRANSACTION;289;55.549;55.548;CELCM0001;null;OK;;null;2025;null;null;;;;;1754428046021;718768443;;CM
1754427325040;2427884821;IMPACT_COMPTIMPACT-COMPTE-GENERAL;-499.5;56.019;55.52;CELCM0001;null;OK;;null;2025;null;null;;;;;1754427325040;718768443;;CM
1754427325040;2427884823;FRAIS_TRANSACTION;-300;55.52;55.52;CELCM0001;null;OK;;null;2025;null;null;;;;;1754427325040;718768443;;CM
1754427322201;2427884772;IMPACT_COMPTIMPACT-COMPTE-GENERAL;-499.945;56.52;56.02;CELCM0001;null;OK;;null;2025;null;null;;;;;1754427322201;718768443;;CM
1754427322201;2427884774;FRAIS_TRANSACTION;-300;56.02;56.019;CELCM0001;null;OK;;null;2025;null;null;;;;;1754427322201;718768443;;CM
1754427319340;2427884690;IMPACT_COMPTIMPACT-COMPTE-GENERAL;-25;56.545;56.52;CELCM0001;null;OK;;null;2025;null;null;;;;;1754427319340;718768443;;CM
1754427319340;2427884692;FRAIS_TRANSACTION;-300;56.52;56.52;CELCM0001;null;OK;;null;2025;null;null;;;;;1754427319340;718768443;;CM
1754427316369;2427884662;IMPACT_COMPTIMPACT-COMPTE-GENERAL;310;56.855;56.545;CELCM0001;null;OK;;null;2025;null;null;;;;;1754427316369;718768443;;CM
1754427316369;2427884664;FRAIS_TRANSACTION;-300;56.545;56.545;CELCM0001;null;OK;;null;2025;null;null;;;;;1754427316369;718768443;;CM
1754427279391;2427884054;IMPACT_COMPTIMPACT-COMPTE-GENERAL;24.93;56.831;56.856;CELCM0001;null;OK;;null;2025;null;null;;;;;1754427279391;718768443;;CM
1754427279391;2427884056;FRAIS_TRANSACTION;249;56.856;56.855;CELCM0001;null;OK;;null;2025;null;null;;;;;1754427279391;718768443;;CM
1754427222759;2427882779;IMPACT_COMPTIMPACT-COMPTE-GENERAL;230.82;56.602;56.833;CELCM0001;null;OK;;null;2025;null;null;;;;;1754427222759;718768443;;CM
1754427222759;2427882781;FRAIS_TRANSACTION;-2.308;56.833;56.831;CELCM0001;null;OK;;null;2025;null;null;;;;;1754427222759;718768443;;CM
1754427190442;2427882073;IMPACT_COMPTIMPACT-COMPTE-GENERAL;500;56.107;56.607;CELCM0001;null;OK;;null;2025;null;null;;;;;1754427190442;718768443;;CM
1754427190442;2427882075;FRAIS_TRANSACTION;-5;56.607;56.602;CELCM0001;null;OK;;null;2025;null;null;;;;;1754427190442;718768443;;CM
1754426899696;2427875118;IMPACT_COMPTIMPACT-COMPTE-GENERAL;-250;56.357;56.107;CELCM0001;null;OK;;null;2025;null;null;;;;;1754426899696;718768443;;CM
1754426899696;2427875120;FRAIS_TRANSACTION;-300;56.107;56.107;CELCM0001;null;OK;;null;2025;null;null;;;;;1754426899696;718768443;;CM
1754426895996;2427875103;IMPACT_COMPTIMPACT-COMPTE-GENERAL;-74;56.432;56.358;CELCM0001;null;OK;;null;2025;null;null;;;;;1754426895996;718768443;;CM
1754426895996;2427875105;FRAIS_TRANSACTION;-300;56.358;56.357;CELCM0001;null;OK;;null;2025;null;null;;;;;1754426895996;718768443;;CM
1754426892391;2427874922;IMPACT_COMPTIMPACT-COMPTE-GENERAL;-63.23;56.495;56.432;CELCM0001;null;OK;;null;2025;null;null;;;;;1754426892391;718768443;;CM
1754426892391;2427874924;FRAIS_TRANSACTION;-300;56.432;56.432;CELCM0001;null;OK;;null;2025;null;null;;;;;1754426892391;718768443;;CM
1754426888626;2427874765;IMPACT_COMPTIMPACT-COMPTE-GENERAL;-102.3;56.598;56.496;CELCM0001;null;OK;;null;2025;null;null;;;;;1754426888626;718768443;;CM
1754426888626;2427874767;FRAIS_TRANSACTION;-300;56.496;56.495;CELCM0001;null;OK;;null;2025;null;null;;;;;1754426888626;718768443;;CM
1754426885136;2427874723;IMPACT_COMPTIMPACT-COMPTE-GENERAL;-250.24;56.848;56.598;CELCM0001;null;OK;;null;2025;null;null;;;;;1754426885136;718768443;;CM
1754426885136;2427874725;FRAIS_TRANSACTION;-300;56.598;56.598;CELCM0001;null;OK;;null;2025;null;null;;;;;1754426885136;718768443;;CM
1754426375244;2427864309;IMPACT_COMPTIMPACT-COMPTE-GENERAL;-50.22;56.899;56.849;CELCM0001;null;OK;;null;2025;null;null;;;;;1754426375244;718768443;;CM
1754426375244;2427864311;FRAIS_TRANSACTION;-300;56.849;56.848;CELCM0001;null;OK;;null;2025;null;null;;;;;1754426375244;718768443;;CM
1754426371601;2427864237;IMPACT_COMPTIMPACT-COMPTE-GENERAL;-17.73;56.917;56.899;CELCM0001;null;OK;;null;2025;null;null;;;;;1754426371601;718768443;;CM
1754426371601;2427864239;FRAIS_TRANSACTION;-300;56.899;56.899;CELCM0001;null;OK;;null;2025;null;null;;;;;1754426371601;718768443;;CM
1754426197261;2427860622;IMPACT_COMPTIMPACT-COMPTE-GENERAL;-102.68;57.02;56.917;CELCM0001;null;OK;;null;2025;null;null;;;;;1754426197261;718768443;;CM
1754426197261;2427860626;FRAIS_TRANSACTION;-300;56.917;56.917;CELCM0001;null;OK;;null;2025;null;null;;;;;1754426197261;718768443;;CM
1754426193483;2427860577;IMPACT_COMPTIMPACT-COMPTE-GENERAL;-26.165;57.046;57.02;CELCM0001;null;OK;;null;2025;null;null;;;;;1754426193483;718768443;;CM
1754426193483;2427860580;FRAIS_TRANSACTION;-300;57.02;57.02;CELCM0001;null;OK;;null;2025;null;null;;;;;1754426193483;718768443;;CM
1754426063856;2427858197;IMPACT_COMPTIMPACT-COMPTE-GENERAL;99.72;56.948;57.047;CELCM0001;null;OK;;null;2025;null;null;;;;;1754426063856;718768443;;CM
1754426063856;2427858199;FRAIS_TRANSACTION;997;57.047;57.046;CELCM0001;null;OK;;null;2025;null;null;;;;;1754426063856;718768443;;CM
1754426047564;2427857927;FRAIS_TRANSACTION;786;56.948;56.948;CELCM0001;null;OK;;null;2025;null;null;;;;;1754426047564;718768443;;CM
1754426047564;2427857925;IMPACT_COMPTIMPACT-COMPTE-GENERAL;78.62;56.87;56.948;CELCM0001;null;OK;;null;2025;null;null;;;;;1754426047564;718768443;;CM
1754425995010;2427856797;IMPACT_COMPTIMPACT-COMPTE-GENERAL;500;56.375;56.875;CELCM0001;null;OK;;null;2025;null;null;;;;;1754425995010;718768443;;CM
1754425995010;2427856799;FRAIS_TRANSACTION;-5;56.875;56.87;CELCM0001;null;OK;;null;2025;null;null;;;;;1754425995010;718768443;;CM
1754425634217;2427848608;IMPACT_COMPTIMPACT-COMPTE-GENERAL;-136;56.511;56.375;CELCM0001;null;OK;;null;2025;null;null;;;;;1754425634217;718768443;;CM
1754425634217;2427848610;FRAIS_TRANSACTION;-300;56.375;56.375;CELCM0001;null;OK;;null;2025;null;null;;;;;1754425634217;718768443;;CM
1754425630429;2427848574;IMPACT_COMPTIMPACT-COMPTE-GENERAL;-34;56.545;56.511;CELCM0001;null;OK;;null;2025;null;null;;;;;1754425630429;718768443;;CM
1754425630429;2427848576;FRAIS_TRANSACTION;-300;56.511;56.511;CELCM0001;null;OK;;null;2025;null;null;;;;;1754425630429;718768443;;CM
1754425626223;2427848510;IMPACT_COMPTIMPACT-COMPTE-GENERAL;-50;56.596;56.546;CELCM0001;null;OK;;null;2025;null;null;;;;;1754425626223;718768443;;CM
1754425626223;2427848512;FRAIS_TRANSACTION;-300;56.546;56.545;CELCM0001;null;OK;;null;2025;null;null;;;;;1754425626223;718768443;;CM
1754425623227;2427848455;IMPACT_COMPTIMPACT-COMPTE-GENERAL;-32.24;56.628;56.596;CELCM0001;null;OK;;null;2025;null;null;;;;;1754425623227;718768443;;CM
1754425623227;2427848457;FRAIS_TRANSACTION;-300;56.596;56.596;CELCM0001;null;OK;;null;2025;null;null;;;;;1754425623227;718768443;;CM
1754425619494;2427848433;IMPACT_COMPTIMPACT-COMPTE-GENERAL;-15.435;56.644;56.629;CELCM0001;null;OK;;null;2025;null;null;;;;;1754425619494;718768443;;CM
1754425619494;2427848435;FRAIS_TRANSACTION;-300;56.629;56.628;CELCM0001;null;OK;;null;2025;null;null;;;;;1754425619494;718768443;;CM
1754425537922;2427846787;IMPACT_COMPTIMPACT-COMPTE-GENERAL;-25;56.669;56.644;CELCM0001;null;OK;;null;2025;null;null;;;;;1754425537922;718768443;;CM
1754425537922;2427846789;FRAIS_TRANSACTION;-300;56.644;56.644;CELCM0001;null;OK;;null;2025;null;null;;;;;1754425537922;718768443;;CM
1754425455039;2427845231;FRAIS_TRANSACTION;-4.975;56.674;56.669;CELCM0001;null;OK;;null;2025;null;null;;;;;1754425455039;718768443;;CM
1754425455039;2427845229;IMPACT_COMPTIMPACT-COMPTE-GENERAL;497.52;56.177;56.674;CELCM0001;null;OK;;null;2025;null;null;;;;;1754425455039;718768443;;CM
1754425410301;2427844294;IMPACT_COMPTIMPACT-COMPTE-GENERAL;78.62;56.099;56.177;CELCM0001;null;OK;;null;2025;null;null;;;;;1754425410301;718768443;;CM
1754425410301;2427844297;FRAIS_TRANSACTION;786;56.177;56.177;CELCM0001;null;OK;;null;2025;null;null;;;;;1754425410301;718768443;;CM
1754425386166;2427843766;IMPACT_COMPTIMPACT-COMPTE-GENERAL;500;55.604;56.104;CELCM0001;null;OK;;null;2025;null;null;;;;;1754425386166;718768443;;CM
1754425386166;2427843768;FRAIS_TRANSACTION;-5;56.104;56.099;CELCM0001;null;OK;;null;2025;null;null;;;;;1754425386166;718768443;;CM
1754425370617;2427843348;IMPACT_COMPTIMPACT-COMPTE-GENERAL;500;55.109;55.609;CELCM0001;null;OK;;null;2025;null;null;;;;;1754425370617;718768443;;CM
1754425370617;2427843350;FRAIS_TRANSACTION;-5;55.609;55.604;CELCM0001;null;OK;;null;2025;null;null;;;;;1754425370617;718768443;;CM
1754424812387;2427831572;IMPACT_COMPTIMPACT-COMPTE-GENERAL;-100.82;55.21;55.109;CELCM0001;null;OK;;null;2025;null;null;;;;;1754424812387;718768443;;CM
1754424812387;2427831574;FRAIS_TRANSACTION;-300;55.109;55.109;CELCM0001;null;OK;;null;2025;null;null;;;;;1754424812387;718768443;;CM
1754424808880;2427831465;IMPACT_COMPTIMPACT-COMPTE-GENERAL;-30.525;55.241;55.21;CELCM0001;null;OK;;null;2025;null;null;;;;;1754424808880;718768443;;CM
1754424808880;2427831467;FRAIS_TRANSACTION;-300;55.21;55.21;CELCM0001;null;OK;;null;2025;null;null;;;;;1754424808880;718768443;;CM
1754424635869;2427827773;IMPACT_COMPTIMPACT-COMPTE-GENERAL;-15;55.256;55.241;CELCM0001;null;OK;;null;2025;null;null;;;;;1754424635869;718768443;;CM
1754424635869;2427827775;FRAIS_TRANSACTION;-300;55.241;55.241;CELCM0001;null;OK;;null;2025;null;null;;;;;1754424635869;718768443;;CM
1754424632916;2427827696;IMPACT_COMPTIMPACT-COMPTE-GENERAL;-258.4;55.515;55.256;CELCM0001;null;OK;;null;2025;null;null;;;;;1754424632916;718768443;;CM
1754424632916;2427827698;FRAIS_TRANSACTION;-300;55.256;55.256;CELCM0001;null;OK;;null;2025;null;null;;;;;1754424632916;718768443;;CM
1754424419122;2427823033;IMPACT_COMPTIMPACT-COMPTE-GENERAL;-115.6;55.631;55.515;CELCM0001;null;OK;;null;2025;null;null;;;;;1754424419122;718768443;;CM
1754424419122;2427823035;FRAIS_TRANSACTION;-300;55.515;55.515;CELCM0001;null;OK;;null;2025;null;null;;;;;1754424419122;718768443;;CM
1754424415449;2427822938;IMPACT_COMPTIMPACT-COMPTE-GENERAL;-40.3;55.671;55.631;CELCM0001;null;OK;;null;2025;null;null;;;;;1754424415449;718768443;;CM
